ordinal,name,repository,url,commit_sha,scan_status,coverage,verdict,risk_score,file_count,text_files_scanned,text_bytes_scanned,finding_count,critical_count,high_count,medium_count,binary_count,top_rule_ids,error
4108,EzDSH,Tiee7/EzDSH,https://github.com/Tiee7/EzDSH,960feff36b6813fb57be586918f57634454ca224,ok_partial,partial,high_risk,235,172,165,718806,58,5,4,49,5,HARD_CODED_PRIVATE_KEY;UNAUTHENTICATED_REMOTE_EXEC_SURFACE;REMOTE_EXEC_PIPE;SHELL_TRUE;SENSITIVE_SOURCE_NETWORK_SINK;SENSITIVE_CLOUD;SENSITIVE_SSH;SENSITIVE_DSH;HARDCODED_PASSWORD;INSTALL_LIFECYCLE_SCRIPT;ARBITRARY_PROCESS;REMOTE_DOWNLOAD;FILE_DELETE,git_submodules_not_fetched; binary_like_files_not_decompiled
4109,fabric-theme-studio,BingChanCN/fabric-theme-studio,https://github.com/BingChanCN/fabric-theme-studio,882f8a7b3ab59ae1f4398d437b3793d0fee881f2,ok,full_text_source,high_risk,22,43,42,279737,6,0,1,5,0,PLUGIN_INSTALL_COMMAND;FILE_DELETE;SENSITIVE_DSH,
4110,flowctx-dsh,Ayou-Claw/flowctx-dsh,https://github.com/Ayou-Claw/flowctx-dsh,29d2376e90ad4b14bdda828f10e22cb33c52dd05,ok_partial,partial,high_risk,20,40,35,195550,4,0,2,2,4,SHELL_TRUE;SENSITIVE_DSH;FILE_DELETE,binary_like_files_not_decompiled
4111,foliodrop-dsh-publish,jaxxchen003/foliodrop-dsh-publish,https://github.com/jaxxchen003/foliodrop-dsh-publish,33b385812b2d57b8a1c54bd174362179902b46ed,ok,full_text_source,high_risk,81,14,13,81607,23,0,3,20,0,SHELL_TRUE;SENSITIVE_DSH;ARBITRARY_PROCESS;HARDCODED_PASSWORD,
4112,frameevidence,fieldnote-ops/frameevidence,https://github.com/fieldnote-ops/frameevidence,45cbf5108ac634f868a52382c4e0c96f48ecf2d6,ok,full_text_source,high_risk,18,20,19,51851,3,1,0,2,0,WALLET_SECRET;HARDCODED_PASSWORD,
4113,frida_dsh_plugin,mang0cola/frida_dsh_plugin,https://github.com/mang0cola/frida_dsh_plugin,b5d557c1ffebb03a0608dfb2090da374b79d168b,ok,full_text_source,medium_risk,39,31,30,119848,13,0,0,13,0,ARBITRARY_PROCESS,
4114,FruitPi,kobenfang/FruitPi,https://github.com/kobenfang/FruitPi,82c76c6bbab0d0eb74aacaa6952f749dd967e3ae,ok,full_text_source,high_risk,7,11,11,37662,1,0,1,0,0,PLUGIN_INSTALL_COMMAND,
4115,function-testing,addxing/function-testing,https://github.com/addxing/function-testing,e8de81a2bcd0a7058fed8fae2955d1cfda660112,ok,full_text_source,no_obvious_malicious_findings,0,9,9,18413,0,0,0,0,0,,
4116,gamelike-plugin-manage,p83765295-sys/gamelike-plugin-manage,https://github.com/p83765295-sys/gamelike-plugin-manage,6c31717d79913089b1d75e8b158dc90d7e36e875,ok_partial,partial,high_risk,149,32,30,252073,35,0,11,24,1,PLUGIN_INSTALL_COMMAND;SHELL_TRUE;ARBITRARY_PROCESS;FILE_DELETE;SENSITIVE_DSH;GIT_CLONE,binary_like_files_not_decompiled
4117,GateCraft-math-modeling-skills,Cryonnan/GateCraft-math-modeling-skills,https://github.com/Cryonnan/GateCraft-math-modeling-skills,c6319820184d6f1106a18e200774b534a974c4cd,ok_partial,partial,high_risk,40,32,31,241023,12,0,1,11,1,SECRET_LOG;SENSITIVE_DSH;PATH_USER_INPUT;ARBITRARY_PROCESS;FILE_DELETE,binary_like_files_not_decompiled
